land,ars,gemeindename,normalized_name,bare_stem,plz,lat,lon,source
SH,010010000000,"Flensburg, Stadt",flensburg,flensburg,24937,54.78252,9.43751,destatis
SH,010020000000,"Kiel, Landeshauptstadt",kiel,kiel,24103,54.321775,10.13727,destatis
SH,010030000000,"Lübeck, Hansestadt",luebeck,luebeck,23539,53.866269,10.683932,destatis
SH,010040000000,"Neumünster, Stadt",neumuenster,neumuenster,24534,54.069895,9.988422,destatis
SH,010510011011,"Brunsbüttel, Stadt",brunsbuettel,brunsbuettel,25541,53.896932,9.13735,destatis
SH,010510044044,"Heide, Stadt",heide,heide,25746,54.193962,9.091156,destatis
SH,010515163003,Averlak,averlak,averlak,25715,53.941154,9.182663,destatis
SH,010515163010,Brickeln,brickeln,brickeln,25712,54.00849,9.221166,destatis
SH,010515163012,Buchholz,buchholz,buchholz,25712,53.987132,9.223774,destatis
SH,010515163016,Burg (Dithmarschen),burg (dithmarschen),burg,25712,53.99748,9.26246,destatis
SH,010515163022,Dingen,dingen,dingen,25715,53.960888,9.125804,destatis
SH,010515163024,Eddelak,eddelak,eddelak,25715,53.945888,9.137433,destatis
SH,010515163026,Eggstedt,eggstedt,eggstedt,25721,54.054535,9.25927,destatis
SH,010515163032,Frestedt,frestedt,frestedt,25727,54.023523,9.176133,destatis
SH,010515163037,Großenrade,grossenrade,grossenrade,25712,54.02206,9.223435,destatis
SH,010515163051,Hochdonn,hochdonn,hochdonn,25712,54.019564,9.293145,destatis
SH,010515163064,Kuden,kuden,kuden,25712,53.967853,9.192822,destatis
SH,010515163089,Quickborn,quickborn,quickborn,25712,54.010081,9.206506,destatis
SH,010515163097,Sankt Michaelisdonn,sankt michaelisdonn,sankt michaelisdonn,25693,53.994807,9.121257,destatis
SH,010515163110,Süderhastedt,suederhastedt,suederhastedt,25727,54.04991,9.20886,destatis
SH,010515166021,Diekhusen-Fahrstedt,diekhusen-fahrstedt,diekhusen-fahrstedt,25709,53.946249,9.023165,destatis
SH,010515166034,Friedrichskoog,friedrichskoog,friedrichskoog,25718,54.005842,8.88014,destatis
SH,010515166046,Helse,helse,helse,25709,53.977556,9.010226,destatis
SH,010515166057,Kaiser-Wilhelm-Koog,kaiser-wilhelm-koog,kaiser-wilhelm-koog,25709,53.942933,8.926364,destatis
SH,010515166062,Kronprinzenkoog,kronprinzenkoog,kronprinzenkoog,25709,53.97171,8.964528,destatis
SH,010515166072,"Marne, Stadt",marne,marne,25709,53.953695,9.008761,destatis
SH,010515166073,Marnerdeich,marnerdeich,marnerdeich,25709,53.948483,8.982956,destatis
SH,010515166076,Neufeld,neufeld,neufeld,25724,53.907495,9.017576,destatis
SH,010515166077,Neufelderkoog,neufelderkoog,neufelderkoog,25724,53.906958,8.968827,destatis
