clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
DK01,Diakoneo Wohnen Bruckberg,Bruckberg,DIAKONEO KdöR,Landkreis Ansbach,Mittelfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/menschen-mit-behinderung/wohnen/region-ansbach (Adresse: Bernhard-Harleß-Str. 2, 91590 Bruckberg, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK02,Diakoneo Wohnheim für Menschen mit Behinderung Obernzenn,Obernzenn,DIAKONEO KdöR,Landkreis Neustadt a.d. Aisch-Bad Windsheim,Mittelfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.obernzenn.de/informieren/von-a-bis-z/detailansicht/address/7405f219aeb3a941cef80cc4fc56b647/ (Adresse: Markersbacher Straße 2, 91619 Obernzenn, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK03,Diakoneo Seniorenhof Büchenbach,Büchenbach,DIAKONEO KdöR,Landkreis Roth,Mittelfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/senioren/pflegeheime/region-roth (Adresse: Németkérstraße 2, 91186 Büchenbach, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK04,Diakoneo Laurentiushaus Lützelbuch,Coburg,DIAKONEO KdöR,Kreisfreie Stadt Coburg,Oberfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/senioren/pflegeheime/coburg (Adresse: Weiherstraße 9, 96450 Coburg, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK05,Diakoneo Wohnen Dinkelsbühl,Dinkelsbühl,DIAKONEO KdöR,Landkreis Ansbach,Mittelfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/menschen-mit-behinderung/wohnen/wohnen-fuer-menschen-mit-behinderung-region-dinkelsbuehl (Adresse: Sonnenstraße, 91550 Dinkelsbühl, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK06,Diakoneo Bodelschwingh-Haus,Erlangen,DIAKONEO KdöR,Kreisfreie Stadt Erlangen,Mittelfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/senioren/pflegeheime/erlangen (Adresse: Habichtstraße 14, 91056 Erlangen, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK07,Diakoneo Kompetenzzentrum Forchheim,Forchheim,DIAKONEO KdöR,Landkreis Forchheim,Oberfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/senioren/pflegeheime/forchheim (Adresse: Sattlertorstr. 48 b, 91301 Forchheim, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK08,Diakoneo Haus an den Rangau Wiesen,Bad Windsheim,DIAKONEO KdöR,Landkreis Neustadt a.d. Aisch-Bad Windsheim,Mittelfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/senioren/pflegeheime/region-neustadt-a-d-aisch-bad-windsheim (Adresse: Erkenbrechtallee 20, 91438 Bad Windsheim, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK09,Diakoneo Wohnen Oettingen,Oettingen,DIAKONEO KdöR,Landkreis Donau-Ries,Schwaben,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/menschen-mit-behinderung/wohnen/region-weissenburg-gunzenhausen (Adresse: 86732 Oettingen in Bayern, erhoben 2026-09-24)",https://www.diakoneo.de,,
DK10,Diakoneo Wohnen Polsingen,Polsingen,DIAKONEO KdöR,Landkreis Weißenburg-Gunzenhausen,Mittelfranken,Sonstige Pflege-/Sozialeinrichtung,,freigemeinnuetzig,,,,manual,"Diakoneo Einrichtungsverzeichnis, https://www.diakoneo.de/menschen-mit-behinderung/wohnen/region-weissenburg-gunzenhausen (Adresse: 91738 Polsingen, erhoben 2026-09-24)",https://www.diakoneo.de,,
