clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
RH1847,Rehaklinik FRISIA Munkert GmbH,Bad Tölz,Rehaklinik FRISIA Munkert GmbH,Bad Tölz-Wolfratshausen,Oberbayern,Reha-Einrichtung,,privat,127,,Sonstige Fachabteilung,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.frisia-toelz.de,,
RH1885,Sanatorium Sedlmayr GmbH,Bad Tölz,Sanatorium Sedlmayr GmbH,Bad Tölz-Wolfratshausen,Oberbayern,Reha-Einrichtung,,privat,28,,Keine Zuordnung zu spezifischem Fachgebiet,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",,,
RH1449,Fachklinik Gaißach Zentrum für chron. Erkrankungen Kinder-Jugendliche-Eltern,Gaißach,Deutsche Rentenversicherung Bayern Süd,Bad Tölz-Wolfratshausen,Oberbayern,Reha-Einrichtung,,oeffentlich,159,,Pädiatrie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.fachklinik-gaissach.de,,
RH2255,"Klinik Bad Reichenhall Zentrum für Rehabilitation, Pneumologie und Orthopädie",Bad Reichenhall,Deutsche Rentenversicherung Bayern Süd,Berchtesgadener Land,Oberbayern,Reha-Einrichtung,,oeffentlich,269,,"Lungen- und Bronchialheilkunde, Orthopädie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-bad-reichenhall.de,,
RH2357,Rehaklinik Prinzregent Luitpold Bad Reichenhall GmbH,Bad Reichenhall,Rehaklinik Prinzregent Luitpold Bad Reichenhall GmbH,Berchtesgadener Land,Oberbayern,Reha-Einrichtung,,privat,115,,"Pneumologie, Psychosomatik/Psychotherapie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.pl-klinik.de,,
RH1395,BG Klinik für Berufskrankheiten Bad Reichenhall gGmbH,Bad Reichenhall,BG Klinik für Berufskrankheiten Bad Reichenhall gGmbH,Berchtesgadener Land,Oberbayern,Reha-Einrichtung,,oeffentlich,180,,"Innere Medizin, Allgemeine Psychiatrie, Dermatologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.bg-kliniken.de/bad-reichenhall,,
RH1638,Klinik Alpenland GmbH & Co. KG,Bad Reichenhall,Klinik Alpenland GmbH & Co. KG,Berchtesgadener Land,Oberbayern,Reha-Einrichtung,,privat,134,,"Hämatologie und internistische Onkologie, Psychosomatik/Psychotherapie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinik-alpenland.de,,
RH2930,Reha-Zentrum Bayerisch Gmain Klinik Hochstaufen,Bayerisch Gmain,Deutsche Rentenversicherung Bund,Berchtesgadener Land,Oberbayern,Reha-Einrichtung,,oeffentlich,225,,"Kardiologie, Gastroenterologie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.reha-klinik-hochstaufen.de,,
RH2287,Klinik Schönsicht Rehabilitation für Kinder und Jugendliche Kind-Mutter-Heilbehandlung,Berchtesgaden,Klinik Schönsicht GmbH,Berchtesgadener Land,Oberbayern,Reha-Einrichtung,,privat,88,,"Pädiatrie, Kinder- und Jugendpsychiatrie",ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinikschoensicht.de,,
RH1200,"Klinik Hochried Zentrum für Kinder, Jugendliche und Familien",Murnau,Katholische Jugendfürsorge der Diözese Augsburg e.V.,Garmisch-Partenkirchen,Oberbayern,Reha-Einrichtung,,freigemeinnuetzig,180,,Pädiatrie,ok,"RHV 2024 (Verzeichnis der Vorsorge- oder Rehabilitationseinrichtungen, Statistische Aemter des Bundes und der Laender, Stand 31.12.2024)",https://www.klinikhochried.de,,
